URL_ID,URL,URL_ID_NAME,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,CONTEXT LENGTH,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,33,5,0.736842086,0.008525914,9.613333333,28.69565217,15.3235942,9.613333333,165,569,4457,1071,0,6.552772809
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,58,31,0.303370783,0.012714286,12.9125,42.60869565,22.20847826,12.9125,343,819,7000,1773,0,7.260762608
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,37,23,0.233333329,0.009988347,13.73684211,54.67511886,27.36478439,13.73684211,345,633,6007,1575,0,8.041925466
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,rise-of-cybercrime-and-its-effect-by-the-year-2040/,135,173,-0.123376623,0.018624902,9.939130435,47.96255507,23.1606742,9.939130435,871,1806,16537,4235,0,7.75877193
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,21,8,0.448275847,0.008882083,11.66666667,41.71122995,21.35115865,11.66666667,156,375,3265,796,0,7.159793814
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,84,24,0.55555555,0.010738789,15.74117647,49.40855323,26.05989188,15.74117647,543,1107,10057,2479,0,7.813743219
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,rise-of-cybercrime-and-its-effect-in-upcoming-future/,36,71,-0.327102801,0.01861841,15.31372549,50.89141005,26.48205422,15.31372549,314,620,5747,1485,0,7.954619125
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,60,19,0.518987335,0.010665587,15.16923077,49.93894994,26.04327228,15.16923077,409,822,7407,1963,0,7.768382353
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,35,49,-0.166666665,0.014726508,13.43859649,52.27272727,26.28452951,13.43859649,322,611,5704,1476,0,8.177554439
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,rise-of-cyber-crime-and-its-effects/,31,60,-0.318681315,0.015066225,11.84210526,38.67403315,20.20645536,11.84210526,280,725,6040,1530,0,6.987688098
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,27,9,0.499999986,0.007870573,12.6875,54.71311475,26.9602459,12.6875,267,488,4574,1180,0,8.123430962
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,76,24,0.519999995,0.012792631,13.175,41.52249135,21.87899654,13.175,360,876,7817,2252,0,7.638731597
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.490196069,0.018902891,13.76,46.57534247,24.13413699,13.76,136,291,2698,704,0,7.759197324
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,33,10,0.534883708,0.008280377,16.53333333,42.75979557,23.71725156,16.53333333,251,599,5193,1323,0,7.131147541
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,33,27,0.099999998,0.010350181,13.61666667,42.66666667,22.51333333,13.61666667,288,680,5797,1439,0,7.155976676
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,33,27,0.099999998,0.010350181,13.61666667,42.66666667,22.51333333,13.61666667,288,680,5797,1439,0,7.155976676
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,45,10,0.636363625,0.010278453,12.12698413,42.05457464,21.67262351,12.12698413,262,632,5351,1367,0,7.29468599
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,how-does-marketing-influence-businesses-and-consumers/,57,6,0.809523797,0.00814901,11.67368421,46.50112867,23.26992515,11.67368421,412,891,7731,1983,0,7.227472527
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,how-advertisement-increase-your-market-value/,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,negative-effects-of-marketing-on-society/,20,44,-0.374999994,0.013313917,13.82,45.80291971,23.84916788,13.82,251,554,4807,1273,0,7.36983842
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,how-advertisement-marketing-affects-business/,12,9,0.142857136,0.013116802,8.851851852,39.58333333,19.37407407,8.851851852,76,186,1601,401,0,7.010362694
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,30,14,0.363636355,0.007893793,13.20634921,33.72262774,18.77159078,13.20634921,231,687,5574,1407,1,6.867256637
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,21,3,0.749999969,0.009520032,18.85,41.96721311,24.32688525,18.85,128,306,2521,636,0,6.826797386
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,17,9,0.307692296,0.006440426,27.54166667,30.37735849,23.16761006,27.54166667,161,539,4037,986,0,6.295145631
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,23,14,0.243243237,0.009120039,15.29268293,38.78787879,21.63222469,15.29268293,192,498,4057,1014,0,6.770325203
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,26,24,0.039999999,0.01071352,14.78431373,32.45469522,18.89560358,14.78431373,197,608,4667,1086,0,6.293532338
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,32,26,0.103448274,0.011637239,19.56756757,38.50174216,23.22772389,19.56756757,221,597,4984,1240,1,7.090753425
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,ai-in-healthcare-to-improve-patient-outcomes/,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,what-if-the-creation-is-taking-over-the-creator/,56,38,0.19148936,0.017685795,11.32911392,32.48120301,17.52412677,11.32911392,216,648,5315,1282,0,6.372463768
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,what-jobs-will-robots-take-from-humans-in-the-future/,66,35,0.30693069,0.012938765,13.09411765,41.13712375,21.69249656,13.09411765,369,894,7806,1960,0,7.363436123
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,will-machine-replace-the-human-in-the-future-of-work/,57,25,0.390243898,0.013742249,9.905263158,31.1023622,16.40305015,9.905263158,237,752,5967,1554,0,6.589403974
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,will-ai-replace-us-or-work-with-us/,50,24,0.351351347,0.010171821,14.13924051,35.60864619,19.89915468,14.13924051,313,879,7275,1818,1,6.850170261
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,management-challenges-for-future-digitalization-of-healthcare-services/,45,19,0.406249994,0.011155656,13.66101695,44.04945904,23.0841904,13.66101695,285,650,5737,1527,0,7.44054878
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,25,12,0.351351342,0.012175058,10.6,31.98924731,17.03569892,10.6,119,363,3039,726,0,6.811827957
blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,how-neural-networks-can-be-applied-in-various-areas-in-the-future/,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem,Web_Problem
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,how-machine-learning-will-affect-your-business/,37,13,0.47999999,0.017667845,13.11428571,25.47945205,15.43749511,13.11428571,93,363,2830,681,2,6.25994695
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,deep-learning-impact-on-areas-of-e-learning/,64,40,0.230769229,0.01241791,16.01234568,36.15384615,20.86647673,16.01234568,376,1054,8375,2171,2,6.538676608
